zpid,imgSrc,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isShowcaseListing,datePriceChanged,priceReduction,priceChange,is_FSBA,timeOnZillow,streetName,homeDetailUrl,price_to_rent_ratio
2067525,https://photos.zillowstatic.com/fp/f2f4771d34dafc083f97475f8c014aa7-p_e.jpg,/homedetails/1229-Scheffer-Ave-Saint-Paul-MN-55116/2067525_zpid/,1229 Scheffer Ave,55116,Saint Paul,MN,44.921764,-93.15201,530000.0,1681974000000,3.0,3.0,2022.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,544200.0,2995,False,False,RECENTLY_SOLD,530000.0,True,False,False,USD,USA,486200.0,10454.4,sqft,False,,,,,,1229 Scheffer Ave,https://www.zillow.com/homedetails/1229-Scheffer-Ave-Saint-Paul-MN-55116/2067525_zpid/,181.70283806343906
2059748,https://photos.zillowstatic.com/fp/ce0dd49ae1255265abdb97d4daa1644a-p_e.jpg,/homedetails/2126-Scheffer-Ave-Saint-Paul-MN-55116/2059748_zpid/,2126 Scheffer Ave,55116,Saint Paul,MN,44.92135,-93.19019,549900.0,1681455600000,2.0,3.0,2506.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,565200.0,3109,False,False,RECENTLY_SOLD,549900.0,True,False,False,USD,USA,481400.0,5227.2,sqft,False,,,,,,2126 Scheffer Ave,https://www.zillow.com/homedetails/2126-Scheffer-Ave-Saint-Paul-MN-55116/2059748_zpid/,181.7947893213252
2066909,https://photos.zillowstatic.com/fp/2c4036976dd75b1e43bf6c690641b24b-p_e.jpg,/homedetails/1519-Highland-Pkwy-Saint-Paul-MN-55116/2066909_zpid/,1519 Highland Pkwy,55116,Saint Paul,MN,44.92,-93.164375,475000.0,1681369200000,3.0,4.0,2013.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,488300.0,2600,False,False,RECENTLY_SOLD,475000.0,True,False,False,USD,USA,455900.0,5662.8,sqft,False,,,,,,1519 Highland Pkwy,https://www.zillow.com/homedetails/1519-Highland-Pkwy-Saint-Paul-MN-55116/2066909_zpid/,187.80769230769232
2125491,https://photos.zillowstatic.com/fp/7d1912bb3cd2b5fd0f6b7bc588b720a4-p_e.jpg,/homedetails/2249-Nokomis-Ave-Saint-Paul-MN-55119/2125491_zpid/,2249 Nokomis Ave,55119,Saint Paul,MN,44.97196,-93.012215,370000.0,1681369200000,2.0,4.0,2052.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,380400.0,2340,False,False,RECENTLY_SOLD,370000.0,True,False,False,USD,USA,164100.0,0.31,acres,False,,,,,,2249 Nokomis Ave,https://www.zillow.com/homedetails/2249-Nokomis-Ave-Saint-Paul-MN-55119/2125491_zpid/,162.56410256410257
2137164,https://photos.zillowstatic.com/fp/f7753dd4c3690b85083c56843ab4cf0a-p_e.jpg,/homedetails/1178-Bradley-St-Saint-Paul-MN-55130/2137164_zpid/,1178 Bradley St,55130,Saint Paul,MN,44.976795,-93.078255,290000.0,1681110000000,2.0,4.0,2245.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,298300.0,2327,False,False,RECENTLY_SOLD,290000.0,True,False,False,USD,USA,253400.0,6534.0,sqft,False,,,,,,1178 Bradley St,https://www.zillow.com/homedetails/1178-Bradley-St-Saint-Paul-MN-55130/2137164_zpid/,128.19080360979802
2034371,https://photos.zillowstatic.com/fp/cdd34fcbc08e9c0e6ead6bb0bc5369e6-p_e.jpg,/homedetails/45-Kipling-St-Saint-Paul-MN-55119/2034371_zpid/,45 Kipling St,55119,Saint Paul,MN,44.939873,-93.00798,356000.0,1680850800000,3.0,4.0,2171.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,366400.0,2594,False,False,RECENTLY_SOLD,356000.0,True,False,False,USD,USA,326700.0,7405.2,sqft,False,,,,,,45 Kipling St,https://www.zillow.com/homedetails/45-Kipling-St-Saint-Paul-MN-55119/2034371_zpid/,141.24903623747107
2059478,https://photos.zillowstatic.com/fp/dee7b02b6a7af820b7089cdf6f3ebc53-p_e.jpg,/homedetails/2209-Bayard-Ave-Saint-Paul-MN-55116/2059478_zpid/,2209 Bayard Ave,55116,Saint Paul,MN,44.922752,-93.19368,500500.0,1680850800000,2.0,4.0,2073.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,515100.0,2500,False,False,RECENTLY_SOLD,500500.0,True,False,False,USD,USA,499300.0,6534.0,sqft,False,,,,,,2209 Bayard Ave,https://www.zillow.com/homedetails/2209-Bayard-Ave-Saint-Paul-MN-55116/2059478_zpid/,206.04
2090058,https://photos.zillowstatic.com/fp/c64c03991395422502f7eeb870e189c1-p_e.jpg,/homedetails/897-Snelling-Ave-S-Saint-Paul-MN-55116/2090058_zpid/,897 Snelling Ave S,55116,Saint Paul,MN,44.914062,-93.16737,400000.0,1680850800000,2.0,4.0,2352.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,411600.0,2599,False,False,RECENTLY_SOLD,400000.0,True,False,False,USD,USA,313800.0,9583.2,sqft,False,,,,,,897 Snelling Ave S,https://www.zillow.com/homedetails/897-Snelling-Ave-S-Saint-Paul-MN-55116/2090058_zpid/,158.368603308965
2059289,https://photos.zillowstatic.com/fp/a3e2352f0964fff54e51e8eb52f19991-p_e.jpg,/homedetails/2076-Niles-Ave-Saint-Paul-MN-55116/2059289_zpid/,2076 Niles Ave,55116,Saint Paul,MN,44.92499,-93.18816,450000.0,1680764400000,3.0,4.0,2326.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,463200.0,2614,False,False,RECENTLY_SOLD,450000.0,True,False,False,USD,USA,484700.0,5227.2,sqft,False,,,,,,2076 Niles Ave,https://www.zillow.com/homedetails/2076-Niles-Ave-Saint-Paul-MN-55116/2059289_zpid/,177.19969395562356
2149954,https://photos.zillowstatic.com/fp/cd4379389b6093ef03c3e7ec1be31eff-p_e.jpg,/homedetails/1623-Van-Buren-Ave-Saint-Paul-MN-55104/2149954_zpid/,1623 Van Buren Ave,55104,Saint Paul,MN,44.962227,-93.168846,350000.0,1680246000000,2.0,4.0,2928.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,360600.0,2500,False,False,RECENTLY_SOLD,350000.0,True,False,False,USD,USA,230200.0,6098.4,sqft,False,,,,,,1623 Van Buren Ave,https://www.zillow.com/homedetails/1623-Van-Buren-Ave-Saint-Paul-MN-55104/2149954_zpid/,144.24
2063627,https://photos.zillowstatic.com/fp/b688a6d5bdb2899e23183eb919ed3576-p_e.jpg,/homedetails/698-Roy-St-S-Saint-Paul-MN-55116/2063627_zpid/,698 Roy St S,55116,Saint Paul,MN,44.920406,-93.16799,570000.0,1680159600000,2.0,4.0,2540.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,587400.0,3228,False,False,RECENTLY_SOLD,570000.0,True,False,False,USD,USA,426700.0,6098.4,sqft,False,,,,,,698 Roy St S,https://www.zillow.com/homedetails/698-Roy-St-S-Saint-Paul-MN-55116/2063627_zpid/,181.9702602230483
2159104,https://photos.zillowstatic.com/fp/ece8840ab337400bf07e3efef7e10a73-p_e.jpg,/homedetails/897-Marshall-Ave-Saint-Paul-MN-55104/2159104_zpid/,897 Marshall Ave,55104,Saint Paul,MN,44.94883,-93.13796,485000.0,1680159600000,2.0,4.0,3019.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,499800.0,2800,False,False,RECENTLY_SOLD,485000.0,True,False,False,USD,USA,411800.0,10018.8,sqft,False,,,,,,897 Marshall Ave,https://www.zillow.com/homedetails/897-Marshall-Ave-Saint-Paul-MN-55104/2159104_zpid/,178.5
2066892,https://photos.zillowstatic.com/fp/af7dd5f00a4c42b1814a130194d63c1e-p_e.jpg,/homedetails/1471-Eleanor-Ave-Saint-Paul-MN-55116/2066892_zpid/,1471 Eleanor Ave,55116,Saint Paul,MN,44.92088,-93.1625,526500.0,1679641200000,3.0,4.0,2145.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,543100.0,2985,False,False,RECENTLY_SOLD,526500.0,True,False,False,USD,USA,491300.0,5662.8,sqft,False,,,,,,1471 Eleanor Ave,https://www.zillow.com/homedetails/1471-Eleanor-Ave-Saint-Paul-MN-55116/2066892_zpid/,181.9430485762144
2082215,https://photos.zillowstatic.com/fp/e6962e5c3770b624488159cf158e37d3-p_e.jpg,/homedetails/769-Brookline-St-Saint-Paul-MN-55119/2082215_zpid/,769 Brookline St,55119,Saint Paul,MN,44.91726,-93.013954,420000.0,1679641200000,2.0,4.0,2484.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,433300.0,2594,False,False,RECENTLY_SOLD,420000.0,True,False,False,USD,USA,311400.0,0.9400000000000001,acres,False,,,,,,769 Brookline St,https://www.zillow.com/homedetails/769-Brookline-St-Saint-Paul-MN-55119/2082215_zpid/,167.03932151117965
